"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-01","1965","01","01","","0.0","","-6.1","","-3.1","","21.1","","0.0","","0.0","T","7.1","","7.1","","15","","32","","72",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-02","1965","01","02","","-4.4","","-6.7","","-5.6","","23.6","","0.0","","0.0","T","1.5","","1.5","","15","","32","","64",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-03","1965","01","03","","-5.0","","-6.1","","-5.6","","23.6","","0.0","","0.0","T","4.3","","4.3","","13","","32","S","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-04","1965","01","04","","-2.8","","-6.1","","-4.5","","22.5","","0.0","","0.0","","5.3","","5.3","","15","","32","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-05","1965","01","05","","-3.3","","-8.3","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","18","","29","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-06","1965","01","06","","-3.3","","-12.8","","-8.1","","26.1","","0.0","","0.0","","0.3","","0.3","","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-07","1965","01","07","","-5.6","","-11.1","","-8.4","","26.4","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-08","1965","01","08","","-1.1","","-12.2","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-09","1965","01","09","","6.1","","-1.7","","2.2","","15.8","","0.0","","13.7","","0.0","T","13.7","","13","","20","","74",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-10","1965","01","10","","0.6","","-8.3","","-3.9","","21.9","","0.0","","0.0","","1.8","","1.8","","3","","29","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-11","1965","01","11","","-7.2","","-14.4","","-10.8","","28.8","","0.0","","0.0","","9.1","","9.1","","8","","34","","45",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-12","1965","01","12","","1.1","","-16.7","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","10","","20","","61",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-13","1965","01","13","","0.6","","-3.9","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-14","1965","01","14","","1.7","","-18.3","","-8.3","","26.3","","0.0","","0.3","","1.3","","1.5","","5","","27","S","64",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-15","1965","01","15","","-17.2","","-22.2","","-19.7","","37.7","","0.0","","0.0","","0.0","T","0.0","T","5","","27","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-16","1965","01","16","","-10.0","","-21.7","","-15.9","","33.9","","0.0","","0.0","","14.7","","14.7","","5","","36","","45",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-17","1965","01","17","","-3.3","","-10.6","","-7.0","","25.0","","0.0","","0.0","T","8.9","","8.9","","23","","36","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-18","1965","01","18","","-3.3","","-7.2","","-5.3","","23.3","","0.0","","0.0","","2.5","","2.5","","25","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-19","1965","01","19","","-2.2","","-10.6","","-6.4","","24.4","","0.0","","0.0","","27.7","","27.7","","41","","27","","61",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-20","1965","01","20","","1.1","","-11.7","","-5.3","","23.3","","0.0","","0.0","T","2.5","","2.5","","46","","25","","47",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-21","1965","01","21","","-2.2","","-11.1","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","36","","29","","68",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-22","1965","01","22","","1.7","","-12.2","","-5.3","","23.3","","0.0","","0.0","","0.5","","0.5","","36","","29","","68",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-23","1965","01","23","","-10.6","","-17.2","","-13.9","","31.9","","0.0","","0.0","","0.0","","0.0","","28","","29","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-24","1965","01","24","","-8.9","","-19.4","","-14.2","","32.2","","0.0","","0.0","","2.0","","2.0","","28","","9","S","35",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-25","1965","01","25","","-2.2","","-9.4","","-5.8","","23.8","","0.0","","0.0","T","17.5","","17.5","","36","","11","S","61",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-26","1965","01","26","","-2.2","","-4.4","","-3.3","","21.3","","0.0","","0.0","T","0.5","","0.5","","43","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-27","1965","01","27","","1.7","","-3.9","","-1.1","","19.1","","0.0","","1.3","","12.7","","14.0","","46","","27","","60",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-28","1965","01","28","","-2.2","","-9.4","","-5.8","","23.8","","0.0","","0.0","","0.5","","0.5","","43","","23","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-29","1965","01","29","","-3.3","","-12.2","","-7.8","","25.8","","0.0","","0.0","","0.8","","0.8","","41","","27","","42",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1965-01-30","1965","01","30","","-6.7","","-18.3","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","38","","25","","47",""
